TCN,REQ_DEL,EST_DE,SPOE,SPOE_AOR,SPOD,SPOD_AOR,CARRIER,SHIP_AGENCY_NM,CONTAINER_SIZE,CLASS_OF_SUPPLY,WEIGHT,SHIP_COST
1942287174X300XXX,10/3/2017,9/3/2017,"(LG3) LIMASSOL,CY",EUCOM,"(1R1) CAPE CANAVERAL,FL,US",NORTHCOM,LGLT - LIBERTY GLOBAL LOGISTICS,OTHER,BREAKBULK,CLASS II,23574,4099.4
4774G52992M005KM2,8/18/2017,,"(1Q1) SAVANNAH,GA,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,GSA,20FT,CLASS II,19953,3737.3
BC6N7561379001XGX,9/9/2017,9/3/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(ND2) DAR ES SALAAM,TZ",AFRICOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,13811,3123.1
BJ3H7550909023XVX,8/8/2017,,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,FRLN - FARRELL LINES INC.,DCMA,BREAKBULK,CLASS VII,27917,4533.7
BJ3H7550909026XFX,9/18/2017,9/10/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,FRLN - FARRELL LINES INC.,DCMA,BREAKBULK,CLASS VII,22452,3987.2
BJ3H7550909027XNX,11/25/2017,11/5/2017,"(2E1) BEAUMONT,TX,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,21675,3909.5
BJ8H7561799003XVX,10/27/2017,10/16/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,10282,2770.2
BJ8H7561799005XZX,9/30/2017,9/10/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,FRLN - FARRELL LINES INC.,DCMA,BREAKBULK,CLASS VII,23981,4140.1
BJ8H7561799016XNX,8/29/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,19320,3674
BP1B7553419020XTX,9/10/2017,9/6/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS IX,16117,3353.7
ED49252815M002KL2,9/29/2017,8/28/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,AIR FORCE,40FT,CLASS I,25859,4327.9
